"property_type","district","listing_title","price_idr","rating","is_new_listing","jumlah_review","link","wilayah","location_group"
"Home","Cimenyan","Villa Casamara – 3 Bedrooms Private Pool & Karaoke","12756417","5.00","",17,"https://www.airbnb.com/rooms/1596807142210535527","Kota Bandung","Bandung Raya"
"Home","Arcamanik","Liana by Izzy House","5477650","4.89","",57,"https://www.airbnb.com/rooms/1508624860623519000","Kota Bandung","Bandung Raya"
"Home","Parompong","Villa Terra | 10+ people | Pool | BBQ | Bandung","10099416","4.82","",28,"https://www.airbnb.com/rooms/1614883858893736855","Kota Bandung","Bandung Raya"
"Home","Bandung Wetan","WEleven Bandung - 3BR House at Premium Location","6961180","4.97","",210,"https://www.airbnb.com/rooms/693713969373643926","Kota Bandung","Bandung Raya"
"Room","Bandung Wetan","The Gempol Room - Aesthetic and Strategic 2","1412207","4.81","",31,"https://www.airbnb.com/rooms/1528310025143378156","Kota Bandung","Bandung Raya"
"Home","Cidadap","Goodbed Villa cipaku setiabudi Bandung","6529620","4.88","",324,"https://www.airbnb.com/rooms/23811035","Kota Bandung","Bandung Raya"
"Home","Sukajadi","Ngariung Villa W/ Pool & Billiard","12445000","4.91","",33,"https://www.airbnb.com/rooms/1591975230530686378","Kota Bandung","Bandung Raya"
"Home","Mandalajati","3BR Emtiga Villa with Balcony | Best Deal in Bandung","3095000","5.00","",28,"https://www.airbnb.com/rooms/1667380997602844782","Kota Bandung","Bandung Raya"
"Home","Parompong","Villa 360 W/ Pool, Billiard & PS5","10687500","4.86","",63,"https://www.airbnb.com/rooms/1505728214765389618","Kota Bandung","Bandung Raya"
"Home","Parompong","Villa Verbena W/ Pool & Spacious Garden","7885000","4.85","",33,"https://www.airbnb.com/rooms/1578045868291073177","Kota Bandung","Bandung Raya"
"Boutique hotel","Sukajadi","Kinimimpi - Aether Suite - steps to padel court","2034719","4.86","",74,"https://www.airbnb.com/rooms/1253951318267481988","Kota Bandung","Bandung Raya"
"Home","Bandung Wetan","Cozy Living at Bandung City Center","8846333","4.92","",205,"https://www.airbnb.com/rooms/52395407","Kota Bandung","Bandung Raya"
"Villa","Cimenyan","Tropical Dago - Monstera 1BR with kitchen and pool","8500000","4.96","",25,"https://www.airbnb.com/rooms/1507139861481797098","Kota Bandung","Bandung Raya"
