nama,harga,rating,jumlah_review,link,wilayah
Home in Parompong - Villa Terra | 10+ people | Pool | BBQ | Bandung,"Rp 10,099,416",4.82,28,https://www.airbnb.com/rooms/1614883858893736855,Kota Bandung
Home in Kecamatan Bandung Wetan - WEleven Bandung - 3BR House at Premium Location,"Rp 6,961,180",4.97,210,https://www.airbnb.com/rooms/693713969373643926,Kota Bandung
Room in Bandung Wetan - The Gempol Room - Aesthetic and Strategic 2,"Rp 1,412,207",4.81,31,https://www.airbnb.com/rooms/1528310025143378156,Kota Bandung
Home in Cidadap - Goodbed Villa cipaku setiabudi Bandung,"Rp 6,529,620",4.88,324,https://www.airbnb.com/rooms/23811035,Kota Bandung
Home in Kecamatan Sukajadi - Ngariung Villa W/ Pool & Billiard,"Rp 12,445,000",4.91,33,https://www.airbnb.com/rooms/1591975230530686378,Kota Bandung
Home in Mandalajati - 3BR Emtiga Villa with Balcony | Best Deal in Bandung,"Rp 3,095,000",5.0,28,https://www.airbnb.com/rooms/1667380997602844782,Kota Bandung
"Home in Parompong - Villa 360 W/ Pool, Billiard & PS5","Rp 10,687,500",4.86,63,https://www.airbnb.com/rooms/1505728214765389618,Kota Bandung
Home in Parompong - Villa Verbena W/ Pool & Spacious Garden,"Rp 7,885,000",4.85,33,https://www.airbnb.com/rooms/1578045868291073177,Kota Bandung
Boutique hotel in Kecamatan Sukajadi - Kinimimpi - Aether Suite - steps to padel court,"Rp 2,034,719",4.86,74,https://www.airbnb.com/rooms/1253951318267481988,Kota Bandung
Home in Kecamatan Bandung Wetan - Cozy Living at Bandung City Center,"Rp 8,846,333",4.92,205,https://www.airbnb.com/rooms/52395407,Kota Bandung
Villa in Cimenyan - Tropical Dago - Monstera 1BR with kitchen and pool,"Rp 8,500,000",4.96,25,https://www.airbnb.com/rooms/1507139861481797098,Kota Bandung
Apartment in Kecamatan Cidadap - 2BR Deluxe Apartemen Parahyangan Residence,"Rp 2,660,890",4.86,74,https://www.airbnb.com/rooms/1300988346341822152,Kota Bandung
Room in Coblong - Cozy & Serene Dago | City View | Calm & Relaxing,"Rp 2,421,578",4.88,8,https://www.airbnb.com/rooms/1449256990257385889,Kota Bandung
Villa in Kecamatan Andir - Villa house with a Balinese feel in the center of Bandung,"Rp 4,886,222",4.84,150,https://www.airbnb.com/rooms/894095611557097444,Kota Bandung
